run_id,run_start_date,unit_label,group_label,y_bin_observed,p_high,y_bin_pred,misclass_flag,near_boundary_flag,strong_contradiction_flag,mdistance_z,iso_anomaly_z,input_anomaly_score_z,confidence,contextual_anomaly_score
RUN_026,2025-03-22,GR02,group_1,1,0.7535499999999998,1,0,0,0,0.5573816152974944,1.0862806765929136,0.821831145945204,0.25354999999999983,0.474303072972602
RUN_013,2025-02-11,GR01,group_3,1,0.848447619047619,1,0,0,0,0.36562246420398997,1.030128213114101,0.6978753386590455,0.348447619047619,0.4360495740914275
RUN_016,2025-02-20,GR04,group_1,1,0.9362333333333333,1,0,0,0,0.28212693620587315,1.0217405307442182,0.6519337334750457,0.43623333333333325,0.43502520007085616
RUN_036,2025-04-21,GR06,group_2,1,0.7427333333333332,1,0,0,0,0.32051578744704184,1.0338902177405387,0.6772030025937903,0.24273333333333325,0.39928483463022846
RUN_011,2025-02-05,GR05,group_1,1,0.8546,1,0,0,0,0.6935905651779,0.5137285053404219,0.6036595352591609,0.3546,0.3904797676295805
RUN_063,2025-07-11,GR03,group_1,0,0.223,0,0,0,0,0.37070095029765776,0.6172828801574679,0.4939919152275628,0.277,0.3162459576137814
RUN_080,2025-08-31,GR02,group_2,0,0.15209999999999996,0,0,0,0,0.4916055965206419,0.3756285743306512,0.4336170854256466,0.34790000000000004,0.3037835427128233
RUN_088,2025-09-24,GR04,group_1,0,0.36879999999999996,0,0,0,0,-0.08921359677157278,1.1122039139609852,0.5114951585947062,0.13120000000000004,0.2885475792973531
RUN_003,2025-01-12,GR03,group_3,1,0.8017666666666666,1,0,0,0,0.5344556920114287,0.2808061420338749,0.4076309170226518,0.3017666666666666,0.27925712517799256
RUN_023,2025-03-13,GR05,group_2,1,0.9239999999999999,1,0,0,0,0.24229371826828044,0.3292080075218006,0.28575086289504054,0.42399999999999993,0.24887543144752025
RUN_008,2025-01-27,GR02,group_2,1,0.8528666666666666,1,0,0,0,0.43977077529437875,0.0913239735417534,0.2655473744180661,0.35286666666666655,0.22099035387569968
RUN_059,2025-06-29,GR05,group_1,0,0.1252,0,0,0,0,-0.18471887510882376,0.6830031182130268,0.24914212155210153,0.3748,0.21827106077605077
RUN_049,2025-05-30,GR01,group_3,0,0.19770000000000001,0,0,0,0,0.37861782343316197,0.18125996958974172,0.2799388965114519,0.3023,0.21554444825572594
RUN_073,2025-08-10,GR01,group_1,0,0.1598333333333333,0,0,0,0,-0.0752896831151836,0.581505837172537,0.2531080770286767,0.34016666666666673,0.21159570518100504
RUN_031,2025-04-06,GR01,group_1,1,0.7576999999999999,1,0,0,0,0.5350019931832538,0.022286853029794027,0.27864442310652393,0.25769999999999993,0.20374721155326195
RUN_044,2025-05-15,GR02,group_2,0,0.43955,0,0,1,0,0.34597648007741344,0.3449208064776651,0.34544864327753927,0.060450000000000004,0.18783682163876964
RUN_103,2025-11-08,GR01,group_2,0,0.4819571428571429,0,0,1,0,-0.0617613495263664,0.6128796072089066,0.2755591288412701,0.018042857142857083,0.1422902787063493
RUN_112,2025-12-05,GR04,group_1,1,0.8011333333333333,1,0,0,0,0.24687398345264452,0.012556784523331678,0.1297153839879881,0.30113333333333325,0.14014102532732736
RUN_065,2025-07-17,GR05,group_1,0,0.24666666666666665,0,0,0,0,-0.021287548083631085,0.3042496896297577,0.1414810707730633,0.25333333333333335,0.13407386871986499
RUN_117,2025-12-20,GR03,group_1,1,0.7223333333333335,1,0,0,0,-0.1589755654108716,0.37147494395626346,0.10624968927269593,0.2223333333333335,0.10870817796968134
RUN_076,2025-08-19,GR04,group_2,0,0.2898,0,0,0,0,-0.25182979498241775,0.46866372047332505,0.10841696274545365,0.2102,0.10675848137272682
RUN_025,2025-03-19,GR01,group_1,1,0.8969,1,0,0,0,0.2961827997850389,-0.35555213092203286,-0.02968466556849697,0.39690000000000003,0.08438266721575152
RUN_053,2025-06-11,GR05,group_3,0,0.2620666666666666,0,0,0,0,-0.12083515784514387,0.20942138882199576,0.044293115488425946,0.23793333333333339,0.08162989107754631
RUN_022,2025-03-10,GR04,group_2,1,0.8967666666666666,1,0,0,0,-0.08217618950249693,-0.010702617784911472,-0.0464394036437042,0.3967666666666666,0.07597196484481455
RUN_061,2025-07-05,GR01,group_1,0,0.3707,0,0,0,0,0.26131355822048813,-0.1146147809356395,0.07334938864242432,0.12930000000000003,0.06899969432121217
RUN_029,2025-03-31,GR05,group_1,1,0.8362428571428572,1,0,0,0,-0.17388352031140952,0.07278223211943297,-0.05055064409598828,0.3362428571428572,0.058785392237720155
