run_id,run_start_date,oob_r2,topk_mdi_raw,pi_r2_drop_topk
RUN_036,2025-04-21,0.2206158428166225,"feature_3_median_WINDOW_2(0.178), feature_3_median_WINDOW_1(0.139), feature_3_median_WINDOW_3(0.073), feature_7_slope_WINDOW_2(0.067), feature_1_block_median_WINDOW_1(0.038)","feature_7_slope_WINDOW_2(1.108), feature_3_median_WINDOW_3(0.085), feature_5_lag1_autocorr_WINDOW_1(0.047), feature_3_median_WINDOW_2(0.020), feature_3_median_WINDOW_1(0.010)"
RUN_037,2025-04-24,0.1525488372945658,"feature_3_median_WINDOW_2(0.133), feature_3_median_WINDOW_1(0.083), feature_7_slope_WINDOW_2(0.051), feature_12(0.043), feature_3_median_WINDOW_3(0.040)","feature_7_slope_WINDOW_2(0.978), feature_7_lag1_autocorr_WINDOW_2(0.063), feature_3_median_WINDOW_3(0.033), feature_3_slope_WINDOW_3(0.024), feature_3_median_WINDOW_2(0.018)"
RUN_038,2025-04-27,0.1979638536083258,"feature_3_median_WINDOW_2(0.130), feature_3_median_WINDOW_1(0.121), feature_7_slope_WINDOW_2(0.069), feature_1_block_median_WINDOW_1(0.065), feature_3_median_WINDOW_3(0.043)","feature_7_slope_WINDOW_2(1.740), feature_12(0.070), feature_6_median_WINDOW_2(0.068), feature_4_mean_resid_std_WINDOW_1(0.049), feature_6_median_WINDOW_1(0.022)"
RUN_043,2025-05-12,0.24990728976707977,"feature_18(0.226), feature_7_slope_WINDOW_1(0.050), feature_1_setpoint(0.046), feature_5_lag1_autocorr_WINDOW_1(0.045), feature_12(0.040)","feature_18(0.889), feature_5_resid_std_WINDOW_2(0.124), feature_5_lag1_autocorr_WINDOW_3(0.086), feature_7_slope_WINDOW_1(0.079), feature_6_lag1_autocorr_WINDOW_1(0.040)"
RUN_044,2025-05-15,0.4494693066191111,"feature_18(0.334), feature_1_setpoint(0.061), feature_12(0.044), feature_5_lag1_autocorr_WINDOW_1(0.033), feature_6_lag1_autocorr_WINDOW_1(0.032)","feature_18(1.191), feature_1_setpoint(0.074), feature_5_lag1_autocorr_WINDOW_1(0.059), feature_4_mean_resid_std_WINDOW_1(0.040), feature_12(0.030)"
RUN_045,2025-05-18,0.4335140254734896,"feature_18(0.318), feature_1_setpoint(0.064), feature_8_mean_WINDOW_3(0.046), feature_5_resid_std_WINDOW_2(0.034), feature_1_block_median_WINDOW_2(0.028)","feature_18(0.585), feature_5_resid_std_WINDOW_2(0.058), feature_3_slope_WINDOW_1(0.047), feature_5_lag1_autocorr_WINDOW_1(0.027), feature_12(0.022)"
RUN_046,2025-05-21,0.4358386422871501,"feature_18(0.348), feature_5_lag1_autocorr_WINDOW_1(0.044), feature_1_setpoint(0.043), feature_5_resid_std_WINDOW_2(0.041), feature_12(0.033)","feature_18(0.666), feature_12(0.086), feature_3_slope_WINDOW_1(0.086), feature_5_lag1_autocorr_WINDOW_1(0.079), feature_5_resid_std_WINDOW_2(0.077)"
RUN_047,2025-05-24,0.41608480127429237,"feature_18(0.274), feature_12(0.152), feature_5_lag1_autocorr_WINDOW_1(0.053), feature_1_setpoint(0.039), feature_8_mean_WINDOW_2(0.029)","feature_12(0.222), feature_3_slope_WINDOW_1(0.083), feature_5_lag1_autocorr_WINDOW_1(0.061), feature_18(0.054), feature_9_resid_std_WINDOW_2(0.026)"
RUN_048,2025-05-27,0.3041664360106592,"feature_18(0.254), feature_12(0.145), feature_1_setpoint(0.043), feature_5_lag1_autocorr_WINDOW_1(0.039), feature_1_block_median_WINDOW_3(0.034)","feature_12(0.522), feature_5_lag1_autocorr_WINDOW_1(0.106), feature_5_resid_std_WINDOW_1(0.096), feature_1_block_slope_WINDOW_2(0.056), feature_9_resid_std_WINDOW_3(0.055)"
RUN_049,2025-05-30,0.254308094000507,"feature_18(0.248), feature_12(0.164), feature_1_setpoint(0.061), feature_5_lag1_autocorr_WINDOW_1(0.037), feature_5_resid_std_WINDOW_1(0.024)","feature_12(0.859), feature_3_slope_WINDOW_1(0.186), feature_9_resid_std_WINDOW_3(0.164), feature_5_resid_std_WINDOW_1(0.152), feature_9_slope_WINDOW_2(0.097)"
RUN_050,2025-06-02,0.5388084248494469,"feature_12(0.378), feature_18(0.103), feature_3_dominant_freq_WINDOW_2(0.027), feature_9_lag1_autocorr_WINDOW_1(0.026), feature_5_resid_std_WINDOW_1(0.022)","feature_12(0.678), feature_4_mean_lag1_autocorr_WINDOW_3(0.471), feature_9_lag1_autocorr_WINDOW_1(0.214), feature_5_resid_std_WINDOW_1(0.013), feature_6_resid_std_WINDOW_3(0.010)"
RUN_051,2025-06-05,0.3708778437056335,"feature_12(0.258), feature_18(0.053), feature_5_median_WINDOW_2(0.035), feature_3_dominant_freq_WINDOW_2(0.035), feature_1_setpoint(0.031)","feature_12(1.214), feature_3_resid_std_WINDOW_3(0.077), feature_1_block_lag1_autocorr_WINDOW_1(0.060), feature_9_lag1_autocorr_WINDOW_1(0.055), feature_18(0.032)"
RUN_052,2025-06-08,0.24267882458964385,"feature_12(0.325), feature_5_slope_WINDOW_3(0.035), feature_9_resid_std_WINDOW_3(0.034), feature_18(0.027), feature_3_resid_std_WINDOW_3(0.022)","feature_12(1.835), feature_9_resid_std_WINDOW_3(0.095), feature_3_resid_std_WINDOW_3(0.043), feature_5_dominant_freq_WINDOW_2(0.042), feature_5_slope_WINDOW_3(0.027)"
RUN_053,2025-06-11,0.3242731444058171,"feature_12(0.384), feature_9_resid_std_WINDOW_3(0.066), feature_3_resid_std_WINDOW_3(0.046), feature_6_slope_WINDOW_1(0.042), feature_5_slope_WINDOW_3(0.039)","feature_12(0.861), feature_9_resid_std_WINDOW_3(0.079), feature_3_resid_std_WINDOW_3(0.047), feature_5_slope_WINDOW_3(0.036), feature_16(0.019)"
RUN_054,2025-06-14,0.40102816521656937,"feature_12(0.432), feature_9_resid_std_WINDOW_3(0.067), feature_10_ext_metric_lag1_autocorr_WINDOW_1(0.038), feature_3_resid_std_WINDOW_3(0.027), feature_18(0.026)","feature_12(1.477), feature_9_resid_std_WINDOW_3(0.064), feature_1_block_resid_std_WINDOW_1(0.013), feature_18(0.011), feature_1_block_lag1_autocorr_WINDOW_3(0.008)"
RUN_062,2025-07-08,0.2021424661280108,"feature_4_mean_slope_WINDOW_2(0.167), feature_1_block_resid_std_WINDOW_1(0.117), feature_10_ext_metric_slope_WINDOW_1(0.047), feature_7_lag1_autocorr_WINDOW_2(0.044), feature_6_slope_WINDOW_1(0.040)","feature_4_mean_slope_WINDOW_2(0.243), feature_1_block_resid_std_WINDOW_1(0.149), feature_7_lag1_autocorr_WINDOW_2(0.082), feature_6_slope_WINDOW_1(0.056), feature_7_lag1_autocorr_WINDOW_1(0.046)"
RUN_093,2025-10-09,0.5611006410667057,"feature_12(0.568), feature_1_block_slope_WINDOW_3(0.026), feature_3_resid_std_WINDOW_1(0.018), feature_9_lag1_autocorr_WINDOW_1(0.017), feature_10_ext_metric_slope_WINDOW_2(0.016)","feature_12(1.229), feature_1_block_slope_WINDOW_3(0.053), feature_3_dominant_freq_WINDOW_2(0.014), feature_5_slope_WINDOW_1(0.012), feature_10_ext_metric_slope_WINDOW_2(0.012)"
RUN_094,2025-10-12,0.36462301819226406,"feature_12(0.482), feature_9_lag1_autocorr_WINDOW_1(0.053), feature_3_resid_std_WINDOW_1(0.024), feature_10_ext_metric_slope_WINDOW_3(0.022), feature_10_ext_metric_slope_WINDOW_2(0.021)","feature_12(1.020), feature_9_slope_WINDOW_1(0.071), feature_1_block_slope_WINDOW_3(0.025), feature_4_mean_lag1_autocorr_WINDOW_2(0.024), feature_7_lag1_autocorr_WINDOW_1(0.019)"
RUN_095,2025-10-15,0.30365763939493207,"feature_12(0.436), feature_3_resid_std_WINDOW_1(0.053), feature_9_lag1_autocorr_WINDOW_1(0.052), feature_1_block_lag1_autocorr_WINDOW_1(0.022), feature_3_slope_WINDOW_2(0.022)","feature_12(0.924), feature_9_slope_WINDOW_1(0.147), feature_9_lag1_autocorr_WINDOW_1(0.037), unit_label(0.035), feature_3_resid_std_WINDOW_1(0.031)"
RUN_096,2025-10-18,0.4363364558926528,"feature_12(0.490), feature_9_lag1_autocorr_WINDOW_1(0.053), feature_3_resid_std_WINDOW_1(0.039), feature_3_slope_WINDOW_2(0.032), feature_3_slope_WINDOW_3(0.016)","feature_12(1.045), feature_18(0.050), unit_label(0.047), feature_9_lag1_autocorr_WINDOW_1(0.037), feature_3_slope_WINDOW_3(0.025)"
